PLAYER,SEASON,TEAM,LEAGUE,SALARY
Lebron James,2009-10,Cleveland Cavaliers,NBA,15779912
Derrick Rose,2010-11,Chicago Bulls,NBA,5546160
Lebron James,2011-12,Miami Heat,NBA,16022500
Lebron James,2012-13,Miami Heat,NBA,17545000
Kevin Durant,2013-14,Oklahoma City Thunder,NBA,"$17,832,627"
Stephen Curry,2014-15,Golden State Warriors,NBA,10629213
Stephen Curry,2015-16,Golden State Warriors,NBA,11370786
Russell Westbrook,2016-17,Oklahoma City Thunder,NBA,26540100
James Harden,2017-18,Houston Rockets,NBA,28299399
Giannis Antetokounmpo,2018-19,Milwaukee Bucks,NBA,24157304
