PLAYER_NAME,GAME_NUMBER,GAME_PLAYED,DATE,AGE,TEAM,HOME_AWAY,OPP,RESULT,GS,MP,MIN,SEC,SECONDS_PLAYED,FG,FGA,FG_PERCENT,THREEP,THREEPA,THREEP_PERCENT,FT,FTA,FT_PERCENT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,PLUS_MINUS,SEASON
Lebron James,1,1,2009-10-27,24,CLE,,BOS,L (-6),1,44:55:00,44,55,2695,12,22,0.545,4,9,0.444,10,13,0.769,0,4,4,8,2,4,5,4,38,31.2,0,2009-10
Lebron James,2,2,2009-10-28,24,CLE,@,TOR,L (-10),1,39:47:00,39,47,2387,7,19,0.368,1,5,0.2,8,14,0.571,2,9,11,12,2,0,4,1,23,20.2,+2,2009-10
Lebron James,3,3,2009-10-30,24,CLE,@,MIN,W (+17),1,33:26:00,33,26,2006,10,18,0.556,2,3,0.667,2,3,0.667,2,7,9,6,1,1,2,1,24,22,+17,2009-10
Lebron James,4,4,2009-10-31,24,CLE,,CHA,W (+11),1,37:14:00,37,14,2234,5,11,0.455,0,1,0,4,6,0.667,1,6,7,9,0,0,4,1,14,11.9,+19,2009-10
Lebron James,5,5,2009-11-03,24,CLE,,WAS,W (+12),1,35:59:00,35,59,2159,7,16,0.438,2,7,0.286,11,13,0.846,3,5,8,6,3,0,4,0,27,24.6,+5,2009-10
Lebron James,6,6,2009-11-05,24,CLE,,CHI,L (-1),1,38:13:00,38,13,2293,9,17,0.529,1,4,0.25,6,9,0.667,0,7,7,6,1,1,3,0,25,20.5,-1,2009-10
Lebron James,7,7,2009-11-06,24,CLE,@,NYK,W (+9),1,35:37:00,35,37,2137,12,17,0.706,2,4,0.5,7,9,0.778,0,8,8,9,3,0,7,3,33,28.6,+8,2009-10
Lebron James,8,8,2009-11-11,24,CLE,@,ORL,W (+9),1,39:07:00,39,7,2347,13,23,0.565,2,3,0.667,8,9,0.889,2,6,8,4,1,0,4,2,36,26.9,+7,2009-10
Lebron James,9,9,2009-11-12,24,CLE,@,MIA,W (+7),1,38:53:00,38,53,2333,8,20,0.4,2,4,0.5,16,18,0.889,1,3,4,7,2,1,2,2,34,28.8,+6,2009-10
Lebron James,10,10,2009-11-14,24,CLE,,UTA,W (+4),1,37:33:00,37,33,2253,6,15,0.4,0,3,0,9,12,0.75,0,6,6,9,2,1,2,1,21,20.1,+6,2009-10
Lebron James,11,11,2009-11-17,24,CLE,,GSW,W (+6),1,38:32:00,38,32,2312,11,19,0.579,1,5,0.2,8,10,0.8,0,5,5,12,1,2,2,2,31,30.8,+8,2009-10
Lebron James,12,12,2009-11-18,24,CLE,@,WAS,L (-17),1,35:08:00,35,8,2108,12,20,0.6,3,7,0.429,7,8,0.875,0,2,2,9,2,0,6,4,34,25.7,-12,2009-10
Lebron James,13,13,2009-11-20,24,CLE,@,IND,W (+10),1,37:53:00,37,53,2273,13,25,0.52,1,3,0.333,13,14,0.929,2,7,9,7,1,1,2,1,40,35,+4,2009-10
Lebron James,14,14,2009-11-21,24,CLE,,PHI,W (+6),1,38:32:00,38,32,2312,13,20,0.65,2,4,0.5,4,6,0.667,0,7,7,9,0,0,5,3,32,24.6,+11,2009-10
Lebron James,15,15,2009-11-25,24,CLE,@,DET,W (+10),1,38:49:00,38,49,2329,12,24,0.5,1,4,0.25,9,11,0.818,1,7,8,7,1,0,5,2,34,24.1,+12,2009-10
Lebron James,16,16,2009-11-27,24,CLE,@,CHA,L (-7),1,38:01:00,38,1,2281,10,19,0.526,2,7,0.286,3,4,0.75,0,6,6,4,0,0,6,4,25,12.3,+3,2009-10
Lebron James,17,17,2009-11-28,24,CLE,,DAL,W (+16),1,36:21:00,36,21,2181,10,20,0.5,0,2,0,5,7,0.714,0,5,5,12,0,0,1,2,25,22.3,+8,2009-10
Lebron James,18,18,2009-12-02,24,CLE,,PHO,W (+17),1,34:37:00,34,37,2077,6,15,0.4,0,3,0,0,0,,1,7,8,10,1,1,3,0,12,12.4,+19,2009-10
Lebron James,19,19,2009-12-04,24,CLE,,CHI,W (+14),1,34:12:00,34,12,2052,8,17,0.471,1,3,0.333,6,10,0.6,0,6,6,11,0,0,1,1,23,20.8,+19,2009-10
Lebron James,20,20,2009-12-06,24,CLE,@,MIL,W (+15),1,32:18:00,32,18,1938,4,10,0.4,0,0,,6,7,0.857,1,4,5,10,1,1,5,2,14,13,+8,2009-10
Lebron James,21,21,2009-12-08,24,CLE,@,MEM,L (-2),1,44:47:00,44,47,2687,14,29,0.483,4,11,0.364,11,12,0.917,4,9,13,6,0,1,5,2,43,32.5,+6,2009-10
Lebron James,22,22,2009-12-09,24,CLE,@,HOU,L (-10),1,39:40:00,39,40,2380,8,21,0.381,2,4,0.5,9,10,0.9,1,5,6,7,1,1,5,2,27,18.1,-13,2009-10
Lebron James,23,23,2009-12-11,24,CLE,,POR,W (+5),1,37:36:00,37,36,2256,14,24,0.583,1,2,0.5,4,6,0.667,1,6,7,7,1,2,4,1,33,26.4,+8,2009-10
Lebron James,24,24,2009-12-13,24,CLE,@,OKC,W (+13),1,38:35:00,38,35,2315,16,29,0.552,5,8,0.625,7,10,0.7,0,7,7,6,4,1,1,1,44,38.5,+13,2009-10
Lebron James,25,25,2009-12-15,24,CLE,,NJN,W (+10),1,40:28:00,40,28,2428,9,19,0.474,1,5,0.2,4,6,0.667,1,5,6,7,2,0,6,3,23,14.4,+7,2009-10
Lebron James,26,26,2009-12-16,24,CLE,@,PHI,W (+7),1,40:17:00,40,17,2417,12,26,0.462,3,6,0.5,9,11,0.818,1,5,6,7,3,1,3,2,36,28.8,+10,2009-10
Lebron James,27,27,2009-12-18,24,CLE,,MIL,W (+3),1,38:22:00,38,22,2302,6,13,0.462,2,4,0.5,12,14,0.857,1,9,10,8,0,3,6,1,26,23.2,+3,2009-10
Lebron James,28,28,2009-12-20,24,CLE,@,DAL,L (-7),1,43:05:00,43,5,2585,9,23,0.391,2,6,0.333,5,7,0.714,0,3,3,6,2,2,2,3,25,17,-5,2009-10
Lebron James,29,29,2009-12-21,24,CLE,@,PHO,W (+18),1,38:26:00,38,26,2306,11,21,0.524,1,3,0.333,6,6,1,1,5,6,4,2,0,3,3,29,21.5,+26,2009-10
Lebron James,30,30,2009-12-23,24,CLE,@,SAC,W (+13),1,43:41:00,43,41,2621,14,30,0.467,1,4,0.25,5,7,0.714,4,12,16,10,0,0,2,1,34,28.8,+26,2009-10
Lebron James,31,31,2009-12-25,24,CLE,@,LAL,W (+15),1,40:44:00,40,44,2444,9,19,0.474,2,7,0.286,6,11,0.545,0,4,4,9,2,1,7,3,26,16.3,+8,2009-10
