Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,10/28/2009,20-039,SAC,@,OKC,L (-13),1,34:52:00,5,15,0.333,0,1,0,0,2,0,1,3,4,2,1,0,3,5,10,-0.3,-20
2,2,10/30/2009,20-041,SAC,@,NOH,L (-5),1,33:12:00,7,13,0.538,1,3,0.333,7,8,0.875,0,3,3,2,2,0,3,4,22,15,-10
3,3,10/31/2009,20-042,SAC,@,SAS,L (-19),1,24:04:00,3,9,0.333,0,2,0,0,2,0,1,1,2,6,2,0,2,3,6,4.1,-15
4,4,11/2/2009,20-044,SAC,,MEM,W (+11),1,24:25:00,0,4,0,0,0,,3,6,0.5,0,3,3,4,0,0,2,2,3,-0.1,-16
5,5,11/4/2009,20-046,SAC,,ATL,L (-8),1,38:37:00,7,21,0.333,0,3,0,1,2,0.5,2,1,3,4,3,0,2,2,15,7.4,4
6,6,11/7/2009,20-049,SAC,@,UTA,W (+5),1,42:45:00,7,15,0.467,2,3,0.667,16,19,0.842,0,3,3,7,1,0,2,2,32,27.1,11
7,7,11/8/2009,20-050,SAC,,GSW,W (+13),1,28:42:00,8,15,0.533,1,1,1,6,7,0.857,2,6,8,2,2,0,0,1,23,21.5,18
8,8,11/10/2009,20-052,SAC,,OKC,W (+3),1,34:25:00,5,16,0.313,0,2,0,10,10,1,0,8,8,8,1,0,5,5,20,12.8,5
9,9,11/13/2009,20-055,SAC,,HOU,W (+9),1,39:45:00,9,17,0.529,2,4,0.5,0,2,0,0,6,6,4,1,1,3,1,20,13.8,-3
10,10,11/17/2009,20-059,SAC,,CHI,L (-14),1,41:58:00,8,19,0.421,0,4,0,4,4,1,1,3,4,4,2,3,4,2,20,13.6,-7
11,11,11/20/2009,20-062,SAC,@,DAL,L (-2),1,43:56:00,13,21,0.619,2,2,1,1,2,0.5,1,6,7,10,1,1,5,3,29,24.1,0
12,,11/21/2009,20-063,SAC,@,HOU,L (-7),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
13,12,11/23/2009,20-065,SAC,@,MEM,L (-11),1,37:29:00,10,18,0.556,1,1,1,7,7,1,0,4,4,4,1,0,5,4,28,17.8,-12
