Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,10/27/2010,21-225,LAC,,POR,L (-10),1,38:36:00,8,14,0.571,0,0,,4,6,0.667,9,5,14,4,1,0,2,4,20,20.6,-9
2,2,10/29/2010,21-227,LAC,@,GSW,L (-18),1,29:13:00,6,14,0.429,0,0,,2,5,0.4,6,4,10,3,1,0,4,5,14,7.9,-20
3,3,10/31/2010,21-229,LAC,,DAL,L (-16),1,32:19:00,4,15,0.267,0,1,0,8,12,0.667,4,5,9,0,2,0,3,2,16,8,-27
4,4,11/1/2010,21-230,LAC,,SAS,L (-9),1,39:01:00,7,13,0.538,0,0,,3,7,0.429,2,6,8,1,0,1,1,1,17,12.3,-2
5,5,11/3/2010,21-232,LAC,,OKC,W (+15),1,32:26:00,7,12,0.583,0,0,,4,10,0.4,4,5,9,0,0,0,2,2,18,11.5,-2
6,6,11/5/2010,21-234,LAC,@,DEN,L (-7),1,33:34:00,11,18,0.611,0,0,,4,4,1,5,5,10,3,0,0,1,1,26,23.5,-5
7,7,11/6/2010,21-235,LAC,@,UTA,L (-2),1,36:59:00,5,10,0.5,0,0,,6,8,0.75,3,14,17,2,1,0,5,6,16,11.5,8
8,8,11/9/2010,21-238,LAC,@,NOH,L (-19),1,30:06:00,4,9,0.444,0,0,,2,3,0.667,1,5,6,0,0,0,1,4,10,4.5,-26
9,9,11/10/2010,21-239,LAC,@,SAS,L (-12),1,38:12:00,5,18,0.278,0,0,,1,2,0.5,2,6,8,3,3,1,2,1,11,6.6,-15
10,10,11/12/2010,21-241,LAC,,DET,L (-6),1,43:44:00,8,15,0.533,0,0,,2,5,0.4,2,16,18,4,1,2,3,4,18,16.3,-10
11,11,11/15/2010,21-244,LAC,,NJN,L (-14),1,30:01:00,5,8,0.625,0,0,,1,4,0.25,3,0,3,1,0,0,3,5,11,4,-18
12,12,11/17/2010,21-246,LAC,@,MIN,L (-2),1,36:43:00,12,22,0.545,0,0,,2,5,0.4,7,10,17,2,0,0,2,3,26,20.3,-5
13,13,11/18/2010,21-247,LAC,@,IND,L (-27),1,29:09:00,6,13,0.462,0,0,,0,3,0,2,6,8,0,0,0,1,0,12,6.3,-10
14,14,11/20/2010,21-249,LAC,,NYK,L (-9),1,38:55:00,14,24,0.583,0,0,,16,23,0.696,4,11,15,7,2,1,4,4,44,38.1,-13
15,15,11/22/2010,21-251,LAC,,NOH,W (+4),1,38:33:00,9,15,0.6,0,0,,6,14,0.429,4,9,13,4,0,2,2,2,24,20.8,10
16,16,11/25/2010,21-254,LAC,,SAC,W (+18),1,35:08:00,7,11,0.636,0,0,,11,15,0.733,4,11,15,5,1,0,4,4,25,23.5,21
17,17,11/26/2010,21-255,LAC,@,PHO,L (-8),1,37:28:00,9,17,0.529,0,0,,2,4,0.5,1,13,14,1,0,2,3,2,20,13.8,-8
18,18,11/28/2010,21-257,LAC,,UTA,L (-12),1,39:06:00,13,21,0.619,0,0,,9,12,0.75,5,9,14,7,0,0,4,2,35,30.6,-6
19,19,12/1/2010,21-260,LAC,,SAS,W (+5),1,39:48:00,14,21,0.667,0,0,,3,6,0.5,3,10,13,4,2,1,3,2,31,27.5,7
20,20,12/3/2010,21-262,LAC,@,DEN,L (-5),1,40:51:00,7,18,0.389,0,0,,3,5,0.6,3,9,12,3,0,2,5,5,17,7.7,-1
21,21,12/5/2010,21-264,LAC,@,POR,L (-9),1,39:40:00,7,14,0.5,0,0,,7,16,0.438,7,8,15,2,2,0,1,2,21,19.3,1
22,22,12/6/2010,21-265,LAC,,SAC,W (+7),1,32:32:00,5,12,0.417,0,0,,3,4,0.75,5,6,11,7,1,2,5,2,13,13,12
23,23,12/8/2010,21-267,LAC,,LAL,L (-1),1,33:37:00,6,17,0.353,0,0,,4,6,0.667,1,10,11,2,1,1,4,3,16,7.3,-10
24,24,12/11/2010,21-270,LAC,,MEM,L (-1),1,39:01:00,9,18,0.5,0,0,,1,2,0.5,3,8,11,5,1,1,3,4,19,14.7,0
25,25,12/12/2010,21-271,LAC,,ORL,L (-9),1,42:08:00,11,23,0.478,0,0,,5,11,0.455,7,9,16,5,1,1,0,4,27,24.1,-7
26,26,12/15/2010,21-274,LAC,@,PHI,L (-14),1,39:08:00,6,16,0.375,0,0,,8,11,0.727,5,13,18,5,1,1,2,2,20,19.8,-17
27,27,12/17/2010,21-276,LAC,@,DET,W (+21),1,38:19:00,11,17,0.647,0,0,,2,6,0.333,4,13,17,3,1,0,4,1,24,20.3,27
28,28,12/18/2010,21-277,LAC,@,CHI,W (+1),1,38:38:00,10,18,0.556,1,1,1,8,12,0.667,2,10,12,4,0,0,3,5,29,21,5
29,29,12/20/2010,21-279,LAC,,MIN,W (+23),1,35:42:00,9,12,0.75,0,0,,4,8,0.5,1,9,10,7,1,0,2,2,22,22.1,16
30,30,12/22/2010,21-281,LAC,,HOU,L (-5),1,38:02:00,8,20,0.4,1,2,0.5,7,10,0.7,5,13,18,2,2,1,2,3,24,20.3,7
31,31,12/26/2010,21-285,LAC,,PHO,W (+5),1,37:34:00,8,11,0.727,0,0,,12,16,0.75,4,8,12,4,0,0,3,6,28,24.5,10
32,32,12/27/2010,21-286,LAC,@,SAC,W (+1),1,40:25:00,9,15,0.6,1,1,1,5,7,0.714,3,11,14,4,0,1,5,3,24,19,-3
33,33,12/29/2010,21-288,LAC,,UTA,L (-8),1,42:51:00,13,20,0.65,1,1,1,3,8,0.375,6,6,12,2,0,1,2,2,30,24.5,-2
34,34,1/2/2011,21-292,LAC,,ATL,L (-9),1,42:39:00,11,22,0.5,0,0,,9,14,0.643,5,10,15,3,0,1,1,2,31,25.5,-8
35,35,1/5/2011,21-295,LAC,,DEN,W (+13),1,37:16:00,8,18,0.444,0,0,,6,9,0.667,5,13,18,7,0,1,3,4,22,19.8,23
36,36,1/9/2011,21-299,LAC,,GSW,W (+14),1,38:18:00,7,16,0.438,0,0,,9,11,0.818,4,8,12,3,1,1,2,3,23,19.6,17
