Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,12/26/2011,19-278,CLE,,TOR,L (-8),1,26:01:00,2,12,0.167,1,5,0.2,1,1,1,0,3,3,7,1,0,1,2,6,3.4,-10
2,2,12/28/2011,19-280,CLE,@,DET,W (+16),1,19:50,5,9,0.556,0,0,,4,4,1,1,3,4,7,2,0,3,1,14,14.8,4
3,3,12/30/2011,19-282,CLE,@,IND,L (-7),1,33:39:00,8,19,0.421,0,2,0,4,7,0.571,1,4,5,4,1,1,3,2,20,11.3,-10
4,4,1/1/2012,19-284,CLE,,NJN,W (+16),1,28:08:00,5,11,0.455,3,4,0.75,0,0,,1,3,4,4,0,2,4,3,13,7.9,-3
5,5,1/3/2012,19-286,CLE,,CHA,W (+14),1,21:36,8,10,0.8,2,2,1,2,2,1,0,3,3,6,0,2,0,2,20,21.9,15
6,6,1/4/2012,19-287,CLE,@,TOR,L (-15),1,26:11:00,3,13,0.231,0,1,0,6,6,1,2,1,3,4,0,0,2,4,12,5,-2
7,7,1/6/2012,19-289,CLE,@,MIN,W (+11),1,29:31:00,5,12,0.417,1,2,0.5,3,3,1,1,4,5,5,0,1,7,4,14,5.1,0
8,8,1/8/2012,19-291,CLE,@,POR,L (-20),1,29:08:00,9,17,0.529,0,3,0,3,3,1,0,4,4,4,1,0,4,3,21,12.5,-12
9,9,1/10/2012,19-293,CLE,@,UTA,L (-8),1,27:16:00,7,14,0.5,1,4,0.25,5,6,0.833,0,0,0,5,0,0,2,5,20,12.1,1
10,10,1/12/2012,19-295,CLE,@,PHO,W (+11),1,27:59:00,11,17,0.647,2,4,0.5,2,2,1,1,2,3,6,2,0,6,3,26,18.8,13
11,11,1/13/2012,19-296,CLE,@,LAL,L (-5),1,28:12:00,8,16,0.5,2,3,0.667,3,3,1,0,0,0,4,2,0,4,2,21,13,-6
12,12,1/16/2012,19-299,CLE,@,CHA,W (+8),1,34:56:00,9,16,0.563,1,1,1,6,8,0.75,2,2,4,7,1,1,3,2,25,21.4,8
13,13,1/17/2012,19-300,CLE,,GSW,L (-10),1,35:45:00,7,13,0.538,0,3,0,4,6,0.667,1,7,8,5,1,1,6,1,18,12.5,-7
14,14,1/20/2012,19-303,CLE,,CHI,L (-39),1,22:29,5,11,0.455,3,4,0.75,0,0,,2,0,2,3,0,0,2,1,13,8.4,-9
15,15,1/21/2012,19-304,CLE,@,ATL,L (-27),1,27:01:00,8,10,0.8,1,2,0.5,1,4,0.25,0,2,2,2,0,1,7,3,18,7.5,-28
16,16,1/24/2012,19-307,CLE,@,MIA,L (-7),1,25:58:00,7,11,0.636,1,3,0.333,2,2,1,1,3,4,4,0,0,3,3,17,12.3,-4
17,17,1/25/2012,19-308,CLE,,NYK,W (+10),1,30:04:00,1,7,0.143,1,4,0.25,4,4,1,0,1,1,7,1,0,2,2,7,5.9,5
18,18,1/27/2012,19-310,CLE,,NJN,L (-3),1,31:17:00,12,20,0.6,2,5,0.4,6,8,0.75,4,2,6,2,2,0,1,2,32,27,1
19,19,1/29/2012,19-312,CLE,@,BOS,W (+1),1,33:29:00,10,14,0.714,1,2,0.5,2,3,0.667,1,3,4,6,1,0,3,2,23,19.8,8
20,20,1/31/2012,19-314,CLE,,BOS,L (-3),1,37:28:00,7,16,0.438,1,2,0.5,6,6,1,0,1,1,6,0,0,2,1,21,14.7,3
21,21,2/3/2012,19-317,CLE,@,ORL,L (-8),1,39:43:00,7,21,0.333,0,1,0,4,4,1,3,1,4,6,0,0,2,2,18,9.9,-16
22,22,2/4/2012,19-318,CLE,,DAL,W (+3),1,35:57:00,9,17,0.529,1,3,0.333,1,1,1,1,3,4,7,2,0,1,0,20,19.2,11
23,23,2/7/2012,19-321,CLE,@,MIA,L (-16),1,33:48:00,5,15,0.333,2,3,0.667,4,5,0.8,1,5,6,6,2,0,5,3,16,9.3,0
24,,2/8/2012,19-322,CLE,,LAC,W (+7),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
25,,2/10/2012,19-324,CLE,,MIL,L (-1),Inactive,,,,,,,,,,,,,,,,,,,,,
26,,2/11/2012,19-325,CLE,,PHI,L (-15),Inactive,,,,,,,,,,,,,,,,,,,,,
27,24,2/15/2012,19-329,CLE,,IND,W (+11),1,37:11:00,8,12,0.667,3,5,0.6,3,4,0.75,1,2,3,5,0,1,1,2,22,20.1,6
28,25,2/17/2012,19-331,CLE,,MIA,L (-24),1,31:05:00,5,15,0.333,0,2,0,7,7,1,1,3,4,2,2,1,1,2,17,12.4,-23
29,26,2/19/2012,19-333,CLE,,SAC,W (+1),1,38:38:00,8,21,0.381,2,4,0.5,5,5,1,0,3,3,1,0,2,4,4,23,8.9,-4
30,27,2/21/2012,19-335,CLE,,DET,W (+1),1,38:35:00,8,15,0.533,3,4,0.75,6,6,1,1,4,5,8,2,2,6,3,25,21.4,-5
31,28,2/22/2012,19-336,CLE,,NOH,L (-5),1,37:24:00,2,13,0.154,0,4,0,2,2,1,0,2,2,11,0,1,2,2,6,3.9,1
32,29,2/28/2012,19-342,CLE,,BOS,L (-3),1,27:15:00,8,14,0.571,3,3,1,5,5,1,1,3,4,3,1,0,2,1,24,19.7,1
33,30,2/29/2012,19-343,CLE,@,NYK,L (-17),1,33:51:00,8,18,0.444,2,7,0.286,4,4,1,0,3,3,7,1,0,4,3,22,14.2,-19
34,,3/2/2012,19-345,CLE,,CHI,L (-21),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
35,31,3/3/2012,19-346,CLE,@,WAS,L (-3),1,30:54:00,8,14,0.571,2,3,0.667,2,4,0.5,0,1,1,6,2,0,3,2,20,15.3,9
36,32,3/5/2012,19-348,CLE,,UTA,L (-9),1,31:45:00,10,19,0.526,1,4,0.25,1,1,1,1,3,4,4,0,0,0,3,22,15.9,-2
37,33,3/7/2012,19-350,CLE,@,DEN,W (+1),1,32:48:00,8,16,0.5,0,3,0,2,2,1,1,4,5,8,3,0,3,5,18,15.5,15
38,34,3/9/2012,19-352,CLE,@,OKC,W (+6),1,30:48:00,4,12,0.333,0,1,0,1,2,0.5,2,4,6,12,3,0,1,1,9,14.4,4
39,35,3/11/2012,19-354,CLE,,HOU,W (+11),1,28:42:00,5,15,0.333,1,3,0.333,10,10,1,1,5,6,5,0,0,3,1,21,14.8,0
40,36,3/13/2012,19-356,CLE,,TOR,L (-8),1,30:16:00,5,17,0.294,1,4,0.25,3,4,0.75,1,6,7,7,0,0,1,4,14,8.5,-10
41,37,3/14/2012,19-357,CLE,@,MIL,L (-10),1,29:19:00,11,16,0.688,2,4,0.5,4,4,1,1,2,3,5,1,0,8,2,28,18.2,-6
