Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,10/30/2013,22-020,PHI,,MIA,W (+4),1,36:10:00,6,10,0.6,4,6,0.667,6,8,0.75,0,7,7,12,9,0,1,1,22,34.7,12
2,2,11/1/2013,22-022,PHI,@,WAS,W (+7),1,32:15:00,6,15,0.4,2,6,0.333,0,2,0,0,3,3,5,1,0,2,4,14,6.9,8
3,3,11/2/2013,22-023,PHI,,CHI,W (+3),1,37:09:00,10,22,0.455,2,5,0.4,4,5,0.8,3,1,4,10,3,0,4,1,26,22.2,6
4,4,11/4/2013,22-025,PHI,,GSW,L (-20),1,34:56:00,4,17,0.235,1,7,0.143,9,12,0.75,1,5,6,4,0,0,6,3,18,4.3,-23
5,5,11/6/2013,22-027,PHI,,WAS,L (-14),1,36:39:00,8,21,0.381,1,4,0.25,2,4,0.5,2,3,5,7,2,1,2,1,19,14.2,-18
6,6,11/8/2013,22-029,PHI,,CLE,W (+15),1,34:18:00,4,13,0.308,2,5,0.4,1,2,0.5,4,5,9,6,1,0,3,2,11,8.8,22
7,7,11/9/2013,22-030,PHI,@,CLE,L (-2),1,49:04:00,9,17,0.529,3,3,1,0,0,,2,5,7,13,2,2,4,5,21,22.1,-3
8,8,11/11/2013,22-032,PHI,,SAS,L (-24),1,32:31:00,2,11,0.182,0,2,0,4,4,1,0,2,2,4,3,3,2,1,8,7.2,-18
9,,11/13/2013,22-034,PHI,,HOU,W (+6),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
10,,11/15/2013,22-036,PHI,@,ATL,L (-10),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
11,,11/16/2013,22-037,PHI,@,NOP,L (-37),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
12,,11/18/2013,22-039,PHI,@,DAL,L (-3),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
13,9,11/20/2013,22-041,PHI,,TOR,L (-10),1,33:33:00,2,10,0.2,0,2,0,6,7,0.857,1,5,6,6,0,2,6,3,10,4,-12
14,10,11/22/2013,22-043,PHI,,MIL,W (+8),1,33:57:00,4,8,0.5,1,2,0.5,3,6,0.5,1,7,8,11,5,1,5,6,12,15.6,0
15,11,11/23/2013,22-044,PHI,@,IND,L (-8),1,37:50:00,11,21,0.524,1,5,0.2,6,11,0.545,3,3,6,3,7,1,2,4,29,25.9,-6
16,12,11/27/2013,22-048,PHI,@,ORL,L (-11),1,39:48:00,9,21,0.429,3,8,0.375,2,2,1,1,3,4,3,4,1,2,1,23,17.9,-11
17,13,11/29/2013,22-050,PHI,,NOP,L (-16),1,32:05:00,4,13,0.308,1,6,0.167,1,4,0.25,1,1,2,10,1,0,5,3,10,4.1,-11
18,14,12/1/2013,22-052,PHI,@,DET,L (-15),1,34:04:00,5,15,0.333,0,2,0,5,5,1,0,6,6,6,6,0,4,1,15,14.1,-8
19,15,12/3/2013,22-054,PHI,,ORL,W (+1),1,46:32:00,11,19,0.579,1,5,0.2,4,7,0.571,7,5,12,10,3,0,7,4,27,24.7,12
20,,12/6/2013,22-057,PHI,@,CHA,L (-17),Not With Team,,,,,,,,,,,,,,,,,,,,,
21,,12/7/2013,22-058,PHI,,DEN,L (-11),Not With Team,,,,,,,,,,,,,,,,,,,,,
22,,12/9/2013,22-060,PHI,,LAC,L (-11),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
23,,12/11/2013,22-062,PHI,@,MIN,L (-7),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
24,,12/13/2013,22-064,PHI,@,TOR,L (-8),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
25,,12/14/2013,22-065,PHI,,POR,L (-34),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
26,,12/16/2013,22-067,PHI,@,BRK,L (-36),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
27,16,12/20/2013,22-071,PHI,,BRK,W (+1),1,35:26:00,5,13,0.385,0,2,0,5,7,0.714,1,2,3,10,3,1,3,4,15,14.5,-6
28,17,12/21/2013,22-072,PHI,@,MIL,L (-10),1,32:55:00,7,16,0.438,1,3,0.333,4,5,0.8,0,3,3,12,1,0,2,5,19,16.5,0
29,18,12/28/2013,22-079,PHI,@,PHO,L (-14),1,34:55:00,12,28,0.429,1,4,0.25,2,2,1,4,2,6,6,4,1,5,3,27,18.3,-14
30,19,12/29/2013,22-080,PHI,@,LAL,W (+7),1,30:19:00,4,7,0.571,0,1,0,5,5,1,0,5,5,5,4,0,2,4,13,15.1,4
31,20,1/1/2014,22-083,PHI,@,DEN,W (+12),1,34:30:00,5,15,0.333,0,0,,6,8,0.75,3,6,9,6,2,0,5,4,16,10.2,1
32,21,1/2/2014,22-084,PHI,@,SAC,W (+9),1,27:22:00,3,11,0.273,0,2,0,1,2,0.5,1,3,4,5,2,3,3,4,7,4.7,3
33,22,1/4/2014,22-086,PHI,@,POR,W (+2),1,33:16:00,5,16,0.313,0,2,0,6,8,0.75,1,8,9,4,0,1,2,1,16,10.2,-5
34,23,1/6/2014,22-088,PHI,,MIN,L (-31),1,28:36:00,6,13,0.462,1,3,0.333,0,1,0,0,4,4,7,1,0,4,2,13,8.2,-23
35,24,1/7/2014,22-089,PHI,@,CLE,L (-18),1,36:43:00,13,25,0.52,2,7,0.286,5,7,0.714,1,5,6,5,0,0,1,2,33,23.8,-30
36,25,1/10/2014,22-092,PHI,,DET,L (-10),1,32:53:00,9,20,0.45,0,2,0,3,4,0.75,1,6,7,4,4,0,4,4,21,13.9,-7
37,26,1/11/2014,22-093,PHI,,NYK,L (-10),1,36:29:00,3,6,0.5,0,1,0,5,6,0.833,1,6,7,7,2,0,2,3,11,13.8,-2
38,27,1/15/2014,22-097,PHI,,CHA,W (+3),1,32:08:00,8,15,0.533,1,3,0.333,3,6,0.5,3,5,8,7,0,0,2,2,20,17.2,9
39,28,1/17/2014,22-099,PHI,,MIA,L (-15),1,24:28:00,1,7,0.143,0,3,0,5,6,0.833,0,1,1,2,1,0,5,2,7,-1,-24
40,29,1/18/2014,22-100,PHI,@,CHI,L (-25),1,32:57:00,5,22,0.227,0,1,0,0,0,,3,2,5,5,1,0,5,3,10,-2.4,-20
41,30,1/20/2014,22-102,PHI,@,WAS,L (-8),1,34:02:00,13,22,0.591,1,2,0.5,4,8,0.5,1,5,6,5,3,0,2,1,31,25.5,-10
42,31,1/22/2014,22-104,PHI,@,NYK,W (+4),1,36:35:00,5,18,0.278,2,2,1,7,10,0.7,6,6,12,7,2,0,3,4,19,15.5,16
43,32,1/24/2014,22-106,PHI,,TOR,L (-9),1,35:16:00,6,15,0.4,3,5,0.6,5,6,0.833,0,3,3,5,2,0,4,3,20,12.7,-9
44,33,1/25/2014,22-107,PHI,,OKC,L (-12),1,33:18:00,4,13,0.308,0,3,0,0,1,0,2,1,3,4,2,2,2,2,8,5.2,-11
45,34,1/27/2014,22-109,PHI,,PHO,L (-11),1,38:52:00,7,19,0.368,1,3,0.333,7,7,1,0,2,2,11,1,1,3,2,22,17.7,-11
46,35,1/29/2014,22-111,PHI,@,BOS,W (+1),1,35:26:00,4,14,0.286,0,2,0,2,5,0.4,0,5,5,7,1,2,3,3,10,5.2,10
47,36,1/31/2014,22-113,PHI,,ATL,L (-26),1,32:42:00,4,9,0.444,1,3,0.333,8,10,0.8,0,4,4,5,1,0,3,4,17,12.6,-16
48,,2/1/2014,22-114,PHI,@,DET,L (-17),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
49,37,2/3/2014,22-116,PHI,@,BRK,L (-6),1,36:06:00,6,17,0.353,3,6,0.5,6,7,0.857,1,1,2,4,1,2,6,3,21,10.1,-12
50,38,2/5/2014,22-118,PHI,,BOS,L (-6),1,33:26:00,5,16,0.313,0,3,0,1,2,0.5,1,2,3,6,0,0,4,4,11,1.3,-1
