Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,10/29/2014,19-248,MIN,@,MEM,L (-4),1,18:33,2,5,0.4,1,1,1,1,2,0.5,1,2,3,1,2,0,2,4,6,3.3,-4
2,2,10/30/2014,19-249,MIN,,DET,W (+6),1,23:48,4,9,0.444,0,0,,0,3,0,0,4,4,1,1,0,3,1,8,1.6,13
3,3,11/1/2014,19-251,MIN,,CHI,L (-1),1,30:56:00,3,10,0.3,0,2,0,2,2,1,3,3,6,0,2,2,3,5,8,3.6,3
4,4,11/5/2014,19-255,MIN,@,BRK,W (+7),1,37:09:00,7,12,0.583,1,1,1,2,4,0.5,0,4,4,1,1,0,1,2,17,11.7,23
5,5,11/7/2014,19-257,MIN,@,ORL,L (-9),1,25:28:00,3,6,0.5,0,0,,0,0,,1,2,3,1,1,1,0,2,6,5.9,-7
6,6,11/8/2014,19-258,MIN,@,MIA,L (-10),1,27:45:00,3,9,0.333,0,1,0,4,5,0.8,0,1,1,2,0,0,1,2,10,4.4,-18
7,7,11/12/2014,19-262,MIN,,HOU,L (-12),1,31:30:00,6,13,0.462,1,2,0.5,2,2,1,0,1,1,0,0,1,4,4,15,3.7,-5
8,8,11/14/2014,19-264,MIN,@,NOP,L (-48),1,23:26,7,10,0.7,2,2,1,4,6,0.667,2,3,5,1,0,0,3,2,20,14.2,-27
9,9,11/15/2014,19-265,MIN,@,DAL,L (-14),1,23:26,2,6,0.333,0,0,,1,2,0.5,2,1,3,0,1,0,1,1,5,2.5,-12
10,10,11/19/2014,19-269,MIN,,NYK,W (+16),1,28:31:00,4,13,0.308,1,1,1,3,4,0.75,2,2,4,0,1,0,5,0,12,2.1,10
11,11,11/21/2014,19-271,MIN,,SAS,L (-29),1,32:52:00,5,14,0.357,0,2,0,4,5,0.8,0,3,3,1,2,0,1,2,14,7.6,-14
12,12,11/22/2014,19-272,MIN,,SAC,L (-12),1,41:11:00,9,22,0.409,2,4,0.5,9,10,0.9,1,4,5,2,4,1,1,1,29,23.4,-5
13,13,11/26/2014,19-276,MIN,,MIL,L (-17),1,38:41:00,4,14,0.286,2,4,0.5,4,8,0.5,3,5,8,4,1,2,6,2,14,6.2,-9
14,14,11/28/2014,19-278,MIN,@,LAL,W (+1),1,29:31:00,1,6,0.167,0,2,0,1,1,1,0,5,5,1,1,0,3,2,3,-1.4,6
15,15,11/30/2014,19-280,MIN,@,POR,L (-14),1,18:12,3,8,0.375,1,3,0.333,0,0,,0,1,1,0,0,0,0,0,7,2.9,-4
16,16,12/1/2014,19-281,MIN,@,LAC,L (-26),1,26:15:00,4,11,0.364,0,0,,6,9,0.667,0,1,1,2,1,0,2,3,14,6.2,-17
17,17,12/3/2014,19-283,MIN,,PHI,L (-8),1,30:08:00,4,12,0.333,1,1,1,2,2,1,1,4,5,1,2,1,0,3,11,8.3,-9
18,18,12/5/2014,19-285,MIN,,HOU,L (-2),1,29:26:00,5,12,0.417,0,2,0,1,3,0.333,1,2,3,3,1,0,1,5,11,5.2,-4
19,19,12/6/2014,19-286,MIN,@,SAS,L (-22),1,33:47:00,3,13,0.231,0,0,,0,0,,0,1,1,0,0,0,2,2,6,-4.4,-17
20,20,12/8/2014,19-288,MIN,,GSW,L (-16),1,38:24:00,8,18,0.444,0,1,0,5,8,0.625,2,3,5,3,0,0,4,2,21,10,-21
21,21,12/10/2014,19-290,MIN,,POR,W (+8),1,43:54:00,9,16,0.563,0,2,0,5,10,0.5,3,7,10,4,2,0,3,1,23,19,15
22,22,12/12/2014,19-292,MIN,,OKC,L (-19),1,43:08:00,7,18,0.389,0,0,,4,4,1,2,3,5,2,1,1,2,3,18,10.4,-13
23,23,12/14/2014,19-294,MIN,,LAL,L (-6),1,28:36:00,4,12,0.333,0,1,0,8,8,1,0,2,2,0,0,0,2,5,16,5.8,-2
24,24,12/16/2014,19-296,MIN,@,WAS,L (-14),1,35:02:00,3,9,0.333,0,1,0,3,3,1,1,2,3,2,1,1,1,2,9,6.5,-14
25,25,12/19/2014,19-299,MIN,@,BOS,L (-16),1,25:52:00,2,10,0.2,0,0,,1,1,1,1,3,4,2,1,2,0,1,5,3.8,-11
26,26,12/21/2014,19-301,MIN,,IND,L (-4),1,31:44:00,2,8,0.25,0,0,,1,2,0.5,3,6,9,1,1,0,1,3,5,3.2,-7
27,27,12/23/2014,19-303,MIN,@,CLE,L (-21),1,36:47:00,9,16,0.563,3,3,1,6,8,0.75,1,1,2,2,1,1,3,1,27,19.3,-25
28,28,12/26/2014,19-306,MIN,@,DEN,L (-4),1,41:09:00,8,18,0.444,1,3,0.333,5,8,0.625,3,3,6,3,0,2,0,4,22,16.3,-12
29,29,12/27/2014,19-307,MIN,@,GSW,L (-13),1,24:21:00,3,6,0.5,0,2,0,4,8,0.5,1,0,1,1,1,0,3,4,10,3.2,-24
30,30,12/30/2014,19-310,MIN,@,UTA,L (-6),1,40:08:00,10,19,0.526,1,2,0.5,0,0,,2,3,5,1,1,1,1,4,21,13.8,-7
31,31,1/1/2015,19-312,MIN,,SAC,L (-3),1,40:29:00,11,22,0.5,1,4,0.25,4,5,0.8,5,4,9,2,4,0,3,2,27,21.9,-10
32,32,1/3/2015,19-314,MIN,,UTA,L (-12),1,36:44:00,8,15,0.533,1,3,0.333,3,3,1,1,3,4,2,1,1,0,2,20,16.6,-10
