Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,10/28/2015,19-347,MIN,@,LAL,W (+1),1,31:53:00,6,10,0.6,0,1,0,2,2,1,2,10,12,1,0,0,3,4,14,9.9,6
2,2,10/30/2015,19-349,MIN,@,DEN,W (+17),1,33:12:00,11,19,0.579,0,0,,6,7,0.857,3,11,14,2,0,4,1,3,28,26.1,15
3,3,11/2/2015,19-352,MIN,,POR,L (-5),1,26:56:00,5,9,0.556,1,1,1,0,0,,1,4,5,0,0,4,4,5,11,5.4,-5
4,4,11/5/2015,19-355,MIN,,MIA,L (-12),1,22:10,3,13,0.231,0,0,,0,0,,0,4,4,1,0,3,0,3,6,0.9,-21
5,5,11/7/2015,19-357,MIN,@,CHI,W (+9),1,26:47:00,8,18,0.444,0,0,,1,1,1,6,7,13,2,1,4,0,4,17,17.5,15
6,6,11/9/2015,19-359,MIN,@,ATL,W (+10),1,31:49:00,5,7,0.714,0,1,0,7,8,0.875,3,9,12,1,0,3,2,3,17,18.1,11
7,7,11/10/2015,19-360,MIN,,CHO,L (-9),1,30:10:00,7,16,0.438,0,1,0,5,5,1,2,11,13,2,1,3,2,3,19,16.6,10
8,8,11/12/2015,19-362,MIN,,GSW,L (-13),1,30:14:00,7,15,0.467,0,0,,3,4,0.75,3,8,11,0,1,0,5,2,17,8.6,-24
9,9,11/13/2015,19-363,MIN,@,IND,L (-4),1,27:11:00,5,9,0.556,0,0,,2,2,1,2,7,9,1,1,0,0,0,12,12.9,-7
10,10,11/15/2015,20-000,MIN,,MEM,L (-8),1,31:34:00,5,11,0.455,0,1,0,4,4,1,3,6,9,1,0,1,3,4,14,9,1
11,11,11/17/2015,20-002,MIN,@,MIA,W (+12),1,26:02:00,6,12,0.5,0,0,,2,2,1,5,9,14,0,2,1,4,4,14,11.3,14
12,12,11/18/2015,20-003,MIN,@,ORL,L (-3),1,37:21:00,8,12,0.667,0,1,0,5,6,0.833,3,9,12,0,0,6,4,2,21,19.6,-7
