Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,10/26/2016,23-320,MIL,,CHO,L (-11),0,21:25,3,9,0.333,0,3,0,2,2,1,0,6,6,5,0,0,0,2,8,7.4,0
2,2,10/29/2016,23-323,MIL,,BRK,W (+2),0,12:50,0,5,0,0,1,0,2,2,1,0,1,1,0,1,0,1,1,2,-1.6,-11
3,3,10/30/2016,23-324,MIL,@,DET,L (-15),0,17:03,3,7,0.429,0,1,0,0,1,0,0,2,2,1,1,0,0,0,6,4.2,-9
4,4,11/1/2016,23-326,MIL,@,NOP,W (+4),0,23:44,6,10,0.6,1,2,0.5,1,1,1,1,1,2,4,4,0,3,1,14,13.8,9
5,5,11/3/2016,23-328,MIL,,IND,W (+18),0,24:13:00,3,5,0.6,2,3,0.667,4,4,1,0,2,2,4,3,1,0,1,12,16.4,17
6,6,11/5/2016,23-330,MIL,,SAC,W (+26),0,26:58:00,1,6,0.167,0,2,0,1,1,1,1,4,5,6,0,0,3,1,3,1.9,3
7,7,11/6/2016,23-331,MIL,@,DAL,L (-11),0,19:51,2,7,0.286,0,2,0,3,4,0.75,0,1,1,0,2,0,1,3,7,2.6,10
8,8,11/10/2016,23-335,MIL,,NOP,L (-6),0,22:23,4,6,0.667,0,0,,2,2,1,0,3,3,3,1,0,2,0,10,9.4,-1
9,9,11/12/2016,23-337,MIL,,MEM,W (+10),0,22:21,5,9,0.556,2,3,0.667,0,0,,1,0,1,3,0,0,2,2,12,7.7,0
10,10,11/16/2016,23-341,MIL,@,ATL,L (-7),0,21:08,2,6,0.333,0,2,0,0,0,,0,2,2,3,0,0,1,3,4,1.1,-4
11,11,11/17/2016,23-342,MIL,@,MIA,L (-23),0,16:31,0,7,0,0,1,0,0,0,,1,3,4,1,0,0,1,2,0,-4.4,-4
12,12,11/19/2016,23-344,MIL,,GSW,L (-3),0,14:22,2,6,0.333,1,2,0.5,0,0,,0,4,4,1,0,0,1,0,5,2.5,-3
13,13,11/21/2016,23-346,MIL,,ORL,W (+4),0,21:29,1,6,0.167,0,3,0,3,3,1,1,1,2,3,1,0,2,1,5,2.9,6
14,14,11/25/2016,23-350,MIL,,TOR,L (-6),0,18:39,3,5,0.6,2,2,1,0,0,,0,0,0,1,0,0,0,0,8,6.4,-1
15,15,11/27/2016,23-352,MIL,@,ORL,W (+8),0,20:18,5,10,0.5,2,3,0.667,0,0,,2,1,3,2,1,0,0,3,12,9.9,2
16,16,11/29/2016,23-354,MIL,,CLE,W (+17),0,22:43,4,5,0.8,2,2,1,0,0,,0,1,1,3,1,0,2,4,10,7.9,0
17,17,12/1/2016,23-356,MIL,@,BRK,W (+18),0,26:25:00,4,7,0.571,3,4,0.75,2,2,1,1,3,4,4,0,0,3,1,13,10.7,13
18,18,12/3/2016,23-358,MIL,,BRK,W (+9),0,20:43,2,8,0.25,0,2,0,1,1,1,0,2,2,4,0,0,0,0,5,3.6,-4
19,19,12/5/2016,23-360,MIL,,SAS,L (-1),0,16:24,1,6,0.167,0,2,0,0,0,,0,0,0,5,0,0,0,1,2,1.3,-6
20,20,12/7/2016,23-362,MIL,,POR,W (+8),0,24:06:00,4,6,0.667,3,3,1,2,2,1,0,1,1,3,2,1,1,4,13,12.9,7
21,21,12/9/2016,23-364,MIL,,ATL,L (-4),0,28:26:00,5,10,0.5,2,3,0.667,0,0,,0,2,2,4,2,0,2,3,12,9.2,7
22,22,12/10/2016,23-365,MIL,@,WAS,L (-5),0,20:10,4,7,0.571,3,3,1,0,0,,0,1,1,2,1,0,1,3,11,8.2,8
23,23,12/12/2016,24-001,MIL,@,TOR,L (-22),0,22:58,1,6,0.167,0,2,0,2,2,1,1,1,2,2,3,0,2,2,4,2.8,-19
24,24,12/15/2016,24-004,MIL,,CHI,W (+11),0,21:05,2,4,0.5,0,1,0,1,2,0.5,2,0,2,7,0,0,3,0,5,5.9,-3
25,25,12/16/2016,24-005,MIL,@,CHI,W (+26),0,26:44:00,3,8,0.375,1,4,0.25,0,0,,0,2,2,1,0,0,2,1,7,1.5,14
26,26,12/20/2016,24-009,MIL,,CLE,L (-6),0,19:23,3,6,0.5,0,2,0,0,0,,0,1,1,5,1,0,2,4,6,4.2,-11
27,27,12/21/2016,24-010,MIL,@,CLE,L (-11),0,27:28:00,4,7,0.571,1,2,0.5,2,4,0.5,0,5,5,7,3,0,1,2,11,14.5,2
28,28,12/23/2016,24-012,MIL,,WAS,W (+27),0,29:16:00,7,7,1,3,3,1,0,0,,0,3,3,7,2,0,3,4,17,18.1,25
29,29,12/26/2016,24-015,MIL,@,WAS,L (-5),0,23:07,3,3,1,0,0,,0,0,,0,1,1,1,1,0,1,0,6,6.1,-1
30,30,12/28/2016,24-017,MIL,@,DET,W (+25),0,28:17:00,4,6,0.667,0,1,0,0,0,,0,1,1,8,1,0,2,1,8,9.9,20
31,31,12/30/2016,24-019,MIL,@,MIN,L (-17),1,32:46:00,4,8,0.5,1,2,0.5,2,2,1,1,3,4,4,1,0,2,1,11,10,-7
32,32,12/31/2016,24-020,MIL,@,CHI,W (+20),1,38:59:00,7,13,0.538,1,2,0.5,0,0,,1,9,10,12,0,0,3,4,15,15.9,22
33,33,1/2/2017,24-022,MIL,,OKC,W (+4),1,32:20:00,3,12,0.25,1,4,0.25,5,5,1,0,2,2,5,0,0,2,5,12,4.9,-5
34,34,1/4/2017,24-024,MIL,@,NYK,W (+1),1,38:26:00,5,14,0.357,0,3,0,2,2,1,1,5,6,8,0,0,0,2,12,11.2,3
35,35,1/6/2017,24-026,MIL,,NYK,L (-5),1,30:35:00,4,9,0.444,0,1,0,2,2,1,0,6,6,5,0,0,1,2,10,8.8,-12
36,36,1/8/2017,24-028,MIL,,WAS,L (-6),1,35:55:00,9,15,0.6,2,4,0.5,2,2,1,0,1,1,5,3,1,4,2,22,17.8,-5
37,37,1/10/2017,24-030,MIL,@,SAS,W (+2),1,25:22:00,5,11,0.455,3,5,0.6,4,5,0.8,2,4,6,6,0,1,1,3,17,16.2,8
38,38,1/13/2017,24-033,MIL,,MIA,W (+8),1,30:17:00,3,6,0.5,1,2,0.5,6,6,1,3,3,6,5,2,0,1,4,13,15.9,8
39,39,1/15/2017,24-035,MIL,@,ATL,L (-13),1,25:43:00,5,10,0.5,2,3,0.667,0,0,,0,0,0,0,2,1,2,2,12,6.9,-2
40,40,1/16/2017,24-036,MIL,,PHI,L (-9),1,28:06:00,5,11,0.455,1,2,0.5,0,0,,0,2,2,6,2,0,1,0,11,11.1,-1
41,41,1/18/2017,24-038,MIL,@,HOU,L (-19),1,34:57:00,3,12,0.25,1,4,0.25,0,0,,6,3,9,8,1,0,3,1,7,8.1,-18
42,42,1/20/2017,24-040,MIL,@,ORL,L (-16),1,35:18:00,6,11,0.545,4,6,0.667,0,0,,0,2,2,4,1,0,1,3,16,12.9,9
43,43,1/21/2017,24-041,MIL,@,MIA,L (-12),0,30:20:00,1,10,0.1,0,2,0,2,2,1,0,2,2,2,1,0,0,2,4,-0.4,-13
44,44,1/23/2017,24-043,MIL,,HOU,W (+13),0,30:04:00,2,8,0.25,0,2,0,2,4,0.5,0,2,2,9,4,0,4,1,6,6.9,3
45,45,1/25/2017,24-045,MIL,,PHI,L (-5),0,25:45:00,3,7,0.429,1,2,0.5,3,4,0.75,1,1,2,7,2,0,2,2,10,11,14
46,46,1/27/2017,24-047,MIL,@,TOR,L (-16),0,24:45:00,2,5,0.4,0,0,,0,0,,0,2,2,3,0,0,2,3,4,0.8,-8
47,47,1/28/2017,24-048,MIL,,BOS,L (-4),0,32:24:00,4,12,0.333,0,3,0,3,3,1,1,1,2,5,0,0,1,2,11,6.9,2
48,48,2/1/2017,24-052,MIL,@,UTA,L (-16),0,30:53:00,4,8,0.5,2,2,1,0,0,,1,2,3,4,3,0,3,1,10,9.7,0
49,49,2/3/2017,24-054,MIL,@,DEN,L (-4),0,23:52,3,7,0.429,0,2,0,1,1,1,0,1,1,2,2,1,2,1,7,5.3,-11
50,50,2/4/2017,24-055,MIL,@,PHO,W (+25),0,25:35:00,5,8,0.625,1,1,1,2,3,0.667,2,3,5,8,3,1,1,1,13,19.2,28
51,51,2/8/2017,24-059,MIL,,MIA,L (-18),0,32:59:00,2,7,0.286,0,1,0,2,4,0.5,1,1,2,6,3,0,1,2,6,7.5,1
52,52,2/10/2017,24-061,MIL,,LAL,L (-8),0,26:51:00,8,11,0.727,1,3,0.333,1,1,1,0,2,2,3,1,0,4,3,18,12,11
53,53,2/11/2017,24-062,MIL,@,IND,W (+16),0,36:10:00,5,14,0.357,2,6,0.333,5,6,0.833,0,3,3,3,0,0,0,2,17,11,24
54,54,2/13/2017,24-064,MIL,,DET,W (+13),0,20:43,2,6,0.333,0,0,,3,3,1,1,0,1,5,1,0,0,1,7,8.4,2
55,55,2/15/2017,24-066,MIL,@,BRK,W (+4),0,15:56,1,3,0.333,1,1,1,5,6,0.833,0,2,2,4,1,0,3,1,8,6.9,8
56,56,2/24/2017,24-075,MIL,,UTA,L (-14),0,22:24,2,6,0.333,1,3,0.333,3,3,1,0,1,1,4,0,0,1,3,8,5.5,-8
57,57,2/26/2017,24-077,MIL,,PHO,W (+4),0,23:50,6,9,0.667,1,3,0.333,2,2,1,0,0,0,7,2,0,2,3,15,14.8,6
58,58,2/27/2017,24-078,MIL,@,CLE,L (-7),0,31:13:00,8,15,0.533,3,7,0.429,1,3,0.333,0,3,3,5,1,0,2,2,20,14.5,0
59,59,3/1/2017,24-080,MIL,,DEN,L (-12),1,33:54:00,7,16,0.438,2,3,0.667,1,1,1,1,1,2,3,3,0,1,1,17,13.3,-9
60,60,3/3/2017,24-082,MIL,,LAC,W (+11),1,23:37,4,8,0.5,4,5,0.8,0,0,,0,3,3,0,0,0,1,3,12,6.7,-11
61,61,3/4/2017,24-083,MIL,,TOR,W (+7),1,41:32:00,6,13,0.462,0,4,0,5,6,0.833,1,4,5,3,0,0,1,1,17,12.5,7
