Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,10/18/2017,21-090,PHI,@,WAS,L (-5),1,34:40:00,7,14,0.5,0,0,,4,6,0.667,3,7,10,5,2,1,1,3,18,18.4,3
2,2,10/20/2017,21-092,PHI,,BOS,L (-10),1,36:54:00,4,11,0.364,0,0,,3,6,0.5,3,8,11,5,1,0,4,2,11,7.9,-7
3,3,10/21/2017,21-093,PHI,@,TOR,L (-34),1,33:23:00,7,16,0.438,0,2,0,4,8,0.5,1,9,10,8,0,0,3,0,18,14,-20
4,4,10/23/2017,21-095,PHI,@,DET,W (+11),1,33:36:00,8,11,0.727,0,0,,5,6,0.833,2,10,12,10,1,0,4,2,21,23.7,12
5,5,10/25/2017,21-097,PHI,,HOU,L (-1),1,34:04:00,7,17,0.412,0,1,0,0,2,0,2,5,7,9,3,1,4,2,14,12.2,-13
6,6,10/28/2017,21-100,PHI,@,DAL,W (+2),1,33:38:00,10,15,0.667,0,0,,3,4,0.75,2,5,7,8,3,1,1,3,23,26.1,-1
7,7,10/30/2017,21-102,PHI,@,HOU,W (+8),1,38:34:00,10,15,0.667,0,1,0,4,9,0.444,1,6,7,9,0,0,5,3,24,18.1,10
8,8,11/1/2017,21-104,PHI,,ATL,W (+10),1,33:30:00,8,16,0.5,0,1,0,3,6,0.5,4,9,13,9,2,0,4,2,19,18.8,14
9,9,11/3/2017,21-106,PHI,,IND,W (+11),1,38:32:00,5,13,0.385,0,0,,4,4,1,2,9,11,11,2,3,5,3,14,16.6,12
10,10,11/7/2017,21-110,PHI,@,UTA,W (+7),1,36:04:00,7,22,0.318,0,1,0,2,2,1,1,12,13,6,3,3,6,5,16,9,2
11,11,11/9/2017,21-112,PHI,@,SAC,L (-1),1,26:53:00,6,8,0.75,0,0,,6,8,0.75,0,2,2,6,2,0,4,5,18,14.8,4
12,12,11/11/2017,21-114,PHI,@,GSW,L (-21),1,28:52:00,6,17,0.353,0,0,,1,4,0.25,3,2,5,8,2,0,4,1,13,8.2,-10
13,13,11/13/2017,21-116,PHI,@,LAC,W (+4),1,37:33:00,9,14,0.643,0,1,0,4,6,0.667,4,8,12,4,1,1,5,5,22,17.7,7
14,14,11/15/2017,21-118,PHI,@,LAL,W (+6),1,39:06:00,8,13,0.615,0,0,,2,4,0.5,3,6,9,10,5,1,1,1,18,26.5,19
15,15,11/18/2017,21-121,PHI,,GSW,L (-8),1,37:46:00,11,15,0.733,0,0,,1,2,0.5,2,6,8,12,1,0,1,3,23,26.9,7
16,16,11/20/2017,21-123,PHI,,UTA,W (+21),1,34:16:00,13,24,0.542,0,0,,1,4,0.25,2,8,10,2,4,0,4,2,27,18.6,6
17,17,11/22/2017,21-125,PHI,,POR,W (+20),1,39:04:00,8,20,0.4,0,0,,0,2,0,0,8,8,9,3,2,3,1,16,14.1,18
18,,11/25/2017,21-128,PHI,,ORL,W (+19),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
19,18,11/27/2017,21-130,PHI,,CLE,L (-22),1,35:09:00,5,11,0.455,0,0,,0,0,,3,5,8,2,3,1,4,3,10,7.8,-16
20,19,11/29/2017,21-132,PHI,,WAS,W (+5),1,40:36:00,8,16,0.5,0,1,0,15,29,0.517,5,13,18,4,2,2,6,3,31,23.8,11
21,20,11/30/2017,21-133,PHI,@,BOS,L (-11),1,39:56:00,6,14,0.429,0,0,,3,4,0.75,4,2,6,7,5,0,5,1,15,15.1,-10
22,21,12/2/2017,21-135,PHI,,DET,W (+5),1,39:11:00,2,6,0.333,0,0,,1,2,0.5,3,7,10,6,0,2,4,3,5,5.8,6
23,22,12/4/2017,21-137,PHI,,PHO,L (-14),1,36:13:00,9,18,0.5,0,0,,2,2,1,1,7,8,7,6,0,3,3,20,20.5,-10
24,23,12/7/2017,21-140,PHI,,LAL,L (-3),1,42:34:00,6,14,0.429,0,0,,0,2,0,0,12,12,15,0,1,4,4,12,13,9
25,24,12/9/2017,21-142,PHI,@,CLE,L (-7),1,35:32:00,7,13,0.538,0,0,,0,0,,0,6,6,10,1,1,7,3,14,10,-6
26,25,12/10/2017,21-143,PHI,@,NOP,L (-7),1,35:53:00,10,16,0.625,0,0,,7,9,0.778,2,3,5,10,0,1,5,4,27,22.4,-4
