Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,10/17/2018,19-231,DAL,@,PHO,L (-21),1,31:47:00,5,16,0.313,0,5,0,0,2,0,2,6,8,4,0,0,4,3,10,0.8,-18
2,2,10/20/2018,19-234,DAL,,MIN,W (+4),1,36:14:00,8,16,0.5,4,9,0.444,6,9,0.667,1,5,6,3,2,1,6,3,26,16.6,6
3,3,10/22/2018,19-236,DAL,,CHI,W (+6),1,35:48:00,7,14,0.5,3,8,0.375,2,2,1,0,3,3,6,1,0,3,3,19,13.9,5
4,4,10/24/2018,19-238,DAL,@,ATL,L (-7),1,34:11:00,7,18,0.389,2,9,0.222,5,8,0.625,0,9,9,2,1,1,3,2,21,12,-12
5,5,10/26/2018,19-240,DAL,@,TOR,L (-9),1,35:09:00,7,14,0.5,4,6,0.667,4,4,1,1,4,5,4,0,0,3,1,22,16.3,0
6,6,10/28/2018,19-242,DAL,,UTA,L (-9),1,36:53:00,5,13,0.385,2,6,0.333,2,2,1,1,5,6,5,1,0,5,1,14,8.2,4
7,7,10/29/2018,19-243,DAL,@,SAS,L (-5),1,39:55:00,11,18,0.611,4,6,0.667,5,6,0.833,2,6,8,4,1,1,6,0,31,24.1,5
8,8,10/31/2018,19-245,DAL,@,LAL,L (-1),1,28:08:00,5,11,0.455,3,6,0.5,1,2,0.5,1,4,5,7,1,0,2,2,14,12.9,-13
9,9,11/2/2018,19-247,DAL,,NYK,L (-12),1,34:58:00,8,15,0.533,2,6,0.333,0,1,0,2,7,9,6,1,0,4,3,18,13.8,-10
10,10,11/6/2018,19-251,DAL,,WAS,W (+19),1,33:16:00,9,16,0.563,2,7,0.286,3,3,1,1,6,7,3,1,0,5,2,23,15.2,11
11,11,11/7/2018,19-252,DAL,@,UTA,L (-15),1,35:12:00,7,14,0.5,3,4,0.75,7,7,1,1,5,6,2,0,0,5,3,24,14.4,-15
12,12,11/10/2018,19-255,DAL,,OKC,W (+15),1,31:22:00,9,15,0.6,1,4,0.25,3,4,0.75,0,6,6,8,1,0,4,4,22,17.5,16
13,13,11/12/2018,19-257,DAL,@,CHI,W (+5),1,31:47:00,3,12,0.25,2,7,0.286,3,4,0.75,2,4,6,3,1,0,3,1,11,5.7,-13
14,14,11/14/2018,19-259,DAL,,UTA,W (+50),1,25:09:00,5,13,0.385,2,4,0.5,1,2,0.5,1,5,6,2,2,1,3,1,13,8.4,17
15,15,11/17/2018,19-262,DAL,,GSW,W (+3),1,35:47:00,9,20,0.45,2,8,0.25,4,4,1,1,8,9,4,0,0,3,3,24,15.3,18
16,16,11/19/2018,19-264,DAL,@,MEM,L (-10),1,36:32:00,6,20,0.3,3,9,0.333,0,0,,1,9,10,3,0,1,3,2,15,5.8,3
17,17,11/21/2018,19-266,DAL,,BRK,W (+6),1,33:52:00,5,11,0.455,2,3,0.667,9,11,0.818,2,7,9,4,2,0,3,4,21,18.2,1
18,18,11/24/2018,19-269,DAL,,BOS,W (+9),1,30:52:00,5,11,0.455,3,4,0.75,2,2,1,0,0,0,8,3,1,3,0,15,15.6,8
19,19,11/28/2018,19-273,DAL,@,HOU,W (+20),1,24:17:00,6,11,0.545,3,7,0.429,5,5,1,2,4,6,2,1,0,4,2,20,14.9,-6
20,20,11/30/2018,19-275,DAL,@,LAL,L (-11),1,31:43:00,2,13,0.154,0,5,0,2,3,0.667,0,6,6,5,3,2,3,3,6,2.8,-8
21,,12/2/2018,19-277,DAL,,LAC,W (+4),Inactive,,,,,,,,,,,,,,,,,,,,,
22,21,12/4/2018,19-279,DAL,,POR,W (+9),1,31:43:00,6,14,0.429,2,4,0.5,7,9,0.778,2,7,9,3,0,0,2,3,21,15.2,4
23,22,12/5/2018,19-280,DAL,@,NOP,L (-26),1,22:00,2,8,0.25,1,4,0.25,3,4,0.75,0,4,4,6,0,0,2,1,8,5.8,-8
24,23,12/8/2018,19-283,DAL,,HOU,W (+3),1,32:00:00,7,17,0.412,3,7,0.429,4,5,0.8,3,4,7,1,3,0,3,3,21,14.3,8
25,24,12/10/2018,19-285,DAL,,ORL,W (+25),1,25:36:00,2,11,0.182,0,5,0,3,3,1,1,10,11,9,1,0,2,1,7,8.7,16
26,25,12/12/2018,19-287,DAL,,ATL,W (+7),1,34:46:00,5,14,0.357,2,6,0.333,12,15,0.8,1,9,10,6,1,1,4,2,24,19.5,4
27,26,12/13/2018,19-288,DAL,@,PHO,L (-10),1,31:14:00,6,12,0.5,1,5,0.2,0,2,0,0,5,5,6,1,0,4,0,13,8.9,-8
28,27,12/16/2018,19-291,DAL,,SAC,L (-7),1,35:02:00,9,15,0.6,1,5,0.2,9,14,0.643,0,6,6,9,1,0,5,3,28,22,-3
29,28,12/18/2018,19-293,DAL,@,DEN,L (-8),1,34:30:00,5,15,0.333,3,9,0.333,10,12,0.833,0,6,6,12,1,0,1,1,23,23.5,7
30,29,12/20/2018,19-295,DAL,@,LAC,L (-4),1,31:00:00,10,20,0.5,3,6,0.5,9,13,0.692,4,0,4,5,4,0,4,3,32,25.5,-1
31,30,12/22/2018,19-297,DAL,@,GSW,L (-4),1,29:40:00,7,15,0.467,3,6,0.5,2,4,0.5,1,2,3,5,1,1,2,2,19,14.2,-2
32,31,12/23/2018,19-298,DAL,@,POR,L (-3),1,35:26:00,7,21,0.333,2,7,0.286,7,9,0.778,2,9,11,6,0,0,1,0,23,17.6,-3
33,32,12/26/2018,19-301,DAL,,NOP,W (+3),1,31:21:00,5,13,0.385,0,5,0,11,12,0.917,1,8,9,10,1,0,1,2,21,22.8,3
34,33,12/28/2018,19-303,DAL,@,NOP,L (-2),1,33:33:00,10,16,0.625,7,10,0.7,7,13,0.538,1,1,2,3,0,0,4,0,34,23.5,5
35,34,12/30/2018,19-305,DAL,,OKC,W (+2),1,33:48:00,9,19,0.474,4,11,0.364,3,4,0.75,0,3,3,7,1,0,6,3,25,14.5,11
36,35,12/31/2018,19-306,DAL,@,OKC,L (-20),1,22:32,4,10,0.4,3,6,0.5,6,6,1,1,5,6,3,1,0,5,0,17,11.9,-16
37,36,1/2/2019,19-308,DAL,@,CHO,W (+38),1,26:18:00,7,16,0.438,3,7,0.429,1,2,0.5,1,9,10,4,0,0,2,0,18,13.4,14
38,37,1/4/2019,19-310,DAL,@,BOS,L (-21),1,28:55:00,7,16,0.438,4,8,0.5,1,2,0.5,1,8,9,4,0,0,3,1,19,12.7,3
39,38,1/5/2019,19-311,DAL,@,PHI,L (-6),1,26:18:00,4,16,0.25,1,8,0.125,5,10,0.5,0,9,9,4,2,0,0,1,14,9.5,-18
40,39,1/7/2019,19-313,DAL,,LAL,L (-10),1,34:52:00,10,23,0.435,2,6,0.333,5,7,0.714,2,6,8,2,1,1,1,3,27,18.2,-7
41,40,1/9/2019,19-315,DAL,,PHO,W (+10),1,35:53:00,8,14,0.571,4,9,0.444,10,16,0.625,0,5,5,5,3,0,4,1,30,24.6,10
42,41,1/11/2019,19-317,DAL,@,MIN,W (+4),1,34:55:00,10,23,0.435,2,9,0.222,7,10,0.7,2,6,8,12,2,0,1,2,29,27.5,5
43,42,1/13/2019,19-319,DAL,,GSW,L (-5),1,31:57:00,8,18,0.444,5,10,0.5,5,8,0.625,0,6,6,5,1,0,5,1,26,16.3,-14
44,43,1/16/2019,19-322,DAL,,SAS,L (-4),1,35:48:00,10,21,0.476,3,9,0.333,2,2,1,1,7,8,8,1,0,2,4,25,20.1,8
45,44,1/19/2019,19-325,DAL,@,IND,L (-12),1,24:29:00,3,14,0.214,0,5,0,2,4,0.5,2,3,5,6,3,0,2,1,8,5.7,-6
46,45,1/21/2019,19-327,DAL,@,MIL,L (-10),1,32:55:00,6,17,0.353,2,5,0.4,4,5,0.8,2,9,11,10,1,1,3,1,18,17.5,-10
47,46,1/22/2019,19-328,DAL,,LAC,W (+8),1,32:18:00,5,15,0.333,0,8,0,7,10,0.7,0,7,7,6,1,1,3,1,17,11.9,2
48,47,1/25/2019,19-331,DAL,,DET,W (+5),1,35:04:00,9,19,0.474,3,9,0.333,11,13,0.846,1,7,8,8,2,1,4,3,32,27.4,2
49,48,1/27/2019,19-333,DAL,,TOR,L (-3),1,35:53:00,14,24,0.583,3,9,0.333,4,6,0.667,2,10,12,10,0,0,3,3,35,30.2,-2
50,49,1/30/2019,19-336,DAL,@,NYK,W (+24),1,28:40:00,7,18,0.389,2,9,0.222,0,1,0,1,7,8,5,0,0,3,1,16,8.7,15
51,,1/31/2019,19-337,DAL,@,DET,L (-4),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
52,50,2/2/2019,19-339,DAL,@,CLE,W (+13),1,32:44:00,13,25,0.52,4,11,0.364,5,7,0.714,1,10,11,6,1,0,2,4,35,27.2,8
53,51,2/6/2019,19-343,DAL,,CHO,W (+6),1,34:40:00,5,20,0.25,2,10,0.2,7,9,0.778,1,9,10,11,1,0,3,1,19,14.9,9
