PLAYER_NAME,GAME_NUMBER,GAME_PLAYED,DATE,AGE,TEAM,HOME_AWAY,OPP,RESULT,GS,MP,MIN,SEC,SECONDS_PLAYED,FG,FGA,FG_PERCENT,THREEP,THREEPA,THREEP_PERCENT,FT,FTA,FT_PERCENT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,PLUS_MINUS
Tyreke Evans,1,1.0,10/28/2009,20-039,SAC,@,OKC,L (-13),1,34:52:00,34,52,00,5.0,15.0,0.33299999999999996,0.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,0.0,3.0,5.0,10.0,-0.3,-20.0
Tyreke Evans,2,2.0,10/30/2009,20-041,SAC,@,NOH,L (-5),1,33:12:00,33,12,00,7.0,13.0,0.5379999999999999,1.0,3.0,0.33299999999999996,7.0,8.0,0.875,0.0,3.0,3.0,2.0,2.0,0.0,3.0,4.0,22.0,15.0,-10.0
Tyreke Evans,3,3.0,10/31/2009,20-042,SAC,@,SAS,L (-19),1,24:04:00,24,04,00,3.0,9.0,0.33299999999999996,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,6.0,2.0,0.0,2.0,3.0,6.0,4.1,-15.0
Tyreke Evans,4,4.0,11/2/2009,20-044,SAC,,MEM,W (+11),1,24:25:00,24,25,00,0.0,4.0,0.0,0.0,0.0,,3.0,6.0,0.5,0.0,3.0,3.0,4.0,0.0,0.0,2.0,2.0,3.0,-0.1,-16.0
Tyreke Evans,5,5.0,11/4/2009,20-046,SAC,,ATL,L (-8),1,38:37:00,38,37,00,7.0,21.0,0.33299999999999996,0.0,3.0,0.0,1.0,2.0,0.5,2.0,1.0,3.0,4.0,3.0,0.0,2.0,2.0,15.0,7.4,4.0
Tyreke Evans,6,6.0,11/7/2009,20-049,SAC,@,UTA,W (+5),1,42:45:00,42,45,00,7.0,15.0,0.467,2.0,3.0,0.667,16.0,19.0,0.8420000000000001,0.0,3.0,3.0,7.0,1.0,0.0,2.0,2.0,32.0,27.1,11.0
Tyreke Evans,7,7.0,11/8/2009,20-050,SAC,,GSW,W (+13),1,28:42:00,28,42,00,8.0,15.0,0.5329999999999999,1.0,1.0,1.0,6.0,7.0,0.857,2.0,6.0,8.0,2.0,2.0,0.0,0.0,1.0,23.0,21.5,18.0
Tyreke Evans,8,8.0,11/10/2009,20-052,SAC,,OKC,W (+3),1,34:25:00,34,25,00,5.0,16.0,0.313,0.0,2.0,0.0,10.0,10.0,1.0,0.0,8.0,8.0,8.0,1.0,0.0,5.0,5.0,20.0,12.8,5.0
Tyreke Evans,9,9.0,11/13/2009,20-055,SAC,,HOU,W (+9),1,39:45:00,39,45,00,9.0,17.0,0.529,2.0,4.0,0.5,0.0,2.0,0.0,0.0,6.0,6.0,4.0,1.0,1.0,3.0,1.0,20.0,13.8,-3.0
Tyreke Evans,10,10.0,11/17/2009,20-059,SAC,,CHI,L (-14),1,41:58:00,41,58,00,8.0,19.0,0.42100000000000004,0.0,4.0,0.0,4.0,4.0,1.0,1.0,3.0,4.0,4.0,2.0,3.0,4.0,2.0,20.0,13.6,-7.0
Tyreke Evans,11,11.0,11/20/2009,20-062,SAC,@,DAL,L (-2),1,43:56:00,43,56,00,13.0,21.0,0.619,2.0,2.0,1.0,1.0,2.0,0.5,1.0,6.0,7.0,10.0,1.0,1.0,5.0,3.0,29.0,24.1,0.0
Tyreke Evans,13,12.0,11/23/2009,20-065,SAC,@,MEM,L (-11),1,37:29:00,37,29,00,10.0,18.0,0.556,1.0,1.0,1.0,7.0,7.0,1.0,0.0,4.0,4.0,4.0,1.0,0.0,5.0,4.0,28.0,17.8,-12.0
Tyreke Evans,14,13.0,11/25/2009,20-067,SAC,,NYK,W (+14),1,39:21:00,39,21,00,8.0,19.0,0.42100000000000004,0.0,3.0,0.0,3.0,4.0,0.75,2.0,9.0,11.0,7.0,2.0,0.0,4.0,3.0,19.0,14.3,23.0
Tyreke Evans,15,14.0,11/27/2009,20-069,SAC,,NJN,W (+13),1,38:33:00,38,33,00,8.0,16.0,0.5,1.0,1.0,1.0,4.0,4.0,1.0,0.0,8.0,8.0,3.0,1.0,0.0,4.0,3.0,21.0,13.3,8.0
Tyreke Evans,16,15.0,11/29/2009,20-071,SAC,,NOH,W (+16),1,40:11:00,40,11,00,6.0,15.0,0.4,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,4.0,2.0,14.0,4.6,18.0
Tyreke Evans,17,16.0,12/2/2009,20-074,SAC,,IND,W (+5),1,31:51:00,31,51,00,7.0,14.0,0.5,0.0,2.0,0.0,12.0,14.0,0.857,0.0,5.0,5.0,6.0,0.0,0.0,4.0,5.0,26.0,17.9,1.0
Tyreke Evans,18,17.0,12/5/2009,20-077,SAC,@,PHO,L (-8),1,31:45:00,31,45,00,8.0,16.0,0.5,1.0,3.0,0.33299999999999996,4.0,6.0,0.667,2.0,4.0,6.0,7.0,2.0,1.0,0.0,3.0,21.0,21.2,-7.0
Tyreke Evans,19,18.0,12/6/2009,20-078,SAC,,MIA,L (-13),1,39:09:00,39,09,00,10.0,19.0,0.526,0.0,3.0,0.0,10.0,12.0,0.833,3.0,1.0,4.0,4.0,3.0,0.0,2.0,5.0,30.0,24.1,-18.0
Tyreke Evans,20,19.0,12/8/2009,20-080,SAC,@,NOH,L (-2),1,38:06:00,38,06,00,10.0,17.0,0.588,0.0,1.0,0.0,5.0,8.0,0.625,2.0,3.0,5.0,9.0,1.0,0.0,1.0,1.0,25.0,24.1,-6.0
Tyreke Evans,21,20.0,12/9/2009,20-081,SAC,@,SAS,L (-12),1,38:57:00,38,57,00,9.0,20.0,0.45,0.0,2.0,0.0,1.0,3.0,0.33299999999999996,1.0,3.0,4.0,5.0,4.0,0.0,4.0,3.0,19.0,11.7,-7.0
Tyreke Evans,22,21.0,12/12/2009,20-084,SAC,,MIN,W (+20),1,33:40:00,33,40,00,7.0,16.0,0.43799999999999994,0.0,1.0,0.0,4.0,5.0,0.8,1.0,4.0,5.0,5.0,2.0,1.0,2.0,1.0,18.0,14.9,7.0
Tyreke Evans,23,22.0,12/15/2009,20-087,SAC,@,POR,L (-7),1,32:53:00,32,53,00,7.0,9.0,0.778,0.0,1.0,0.0,5.0,6.0,0.833,0.0,7.0,7.0,3.0,2.0,1.0,1.0,4.0,19.0,19.4,-8.0
Tyreke Evans,24,23.0,12/16/2009,20-088,SAC,,WAS,W (+3),1,40:19:00,40,19,00,9.0,18.0,0.5,0.0,1.0,0.0,8.0,10.0,0.8,1.0,5.0,6.0,6.0,0.0,2.0,4.0,3.0,26.0,18.8,-8.0
Tyreke Evans,25,24.0,12/18/2009,20-090,SAC,@,MIN,L (-16),1,35:19:00,35,19,00,4.0,12.0,0.33299999999999996,0.0,2.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,8.0,2.0,0.0,5.0,4.0,10.0,5.4,-15.0
Tyreke Evans,26,25.0,12/19/2009,20-091,SAC,@,MIL,W (+1),1,36:38:00,36,38,00,9.0,19.0,0.474,1.0,1.0,1.0,5.0,7.0,0.7140000000000001,2.0,5.0,7.0,3.0,2.0,0.0,6.0,2.0,24.0,13.7,-2.0
Tyreke Evans,27,26.0,12/21/2009,20-093,SAC,@,CHI,W (+4),1,44:23:00,44,23,00,8.0,19.0,0.42100000000000004,1.0,1.0,1.0,6.0,9.0,0.667,1.0,7.0,8.0,3.0,2.0,0.0,3.0,4.0,23.0,14.0,6.0
Tyreke Evans,28,27.0,12/23/2009,20-095,SAC,,CLE,L (-13),1,43:31:00,43,31,00,11.0,25.0,0.44,2.0,7.0,0.28600000000000003,4.0,4.0,1.0,0.0,3.0,3.0,5.0,1.0,3.0,1.0,1.0,28.0,21.0,-18.0
Tyreke Evans,29,28.0,12/26/2009,20-098,SAC,,LAL,L (-9),1,46:14:00,46,14,00,9.0,23.0,0.391,0.0,4.0,0.0,0.0,0.0,,2.0,3.0,5.0,2.0,0.0,1.0,5.0,5.0,18.0,2.9,-11.0
Tyreke Evans,33,29.0,1/2/2010,20-105,SAC,,DAL,L (-8),1,37:38:00,37,38,00,6.0,18.0,0.33299999999999996,0.0,2.0,0.0,2.0,4.0,0.5,0.0,5.0,5.0,6.0,1.0,0.0,0.0,0.0,14.0,9.7,-2.0
